feature,DT_Gini,RF_Gini,RF_Perm,RF_Perm_std,Rank_DT,Rank_RF,Rank_Perm,Rank_change,Gini_Perm_diff,Cardinality,Max_Corr
density,0.24158667279606752,0.12509611405569057,0.18495966992785567,0.020560020231596945,2,2,1,1,-0.0598635558721651,4764,0.7328772835219329
MagpieData maximum Electronegativity,0.4109150099331,0.15094134226723285,0.07578017267870837,0.005485185022110076,1,1,2,-1,0.07516116958852448,28,0.812386801109578
MagpieData minimum MeltingT,0.0,0.11128672110421534,0.038089916529692534,0.0038335888811518028,96,3,3,0,0.0731968045745228,41,0.8316042546172542
MagpieData mean MeltingT,0.012125508104090622,0.028074915583309778,0.018840600291942435,0.0024220655687209134,11,6,4,2,0.009234315291367343,4009,0.6790954917279953
vpa,0.014657119020350579,0.01371819460752884,0.014078441639744366,0.001813339952134955,10,9,5,4,-0.0003602470322155264,4764,0.7427683386294207
MagpieData mean NpValence,0.03610536265146274,0.014178722565724368,0.009333500870248779,0.0012360624081790774,4,8,6,2,0.004845221695475589,317,0.8365393889251508
MagpieData maximum MendeleevNumber,0.033550734516488954,0.012435680285749848,0.007313465556953802,0.0012378126346521956,5,12,7,5,0.005122214728796046,25,0.755123873762906
MagpieData avg_dev Electronegativity,0.008386063615103273,0.014822990868772461,0.006286088020274005,0.0015830160349393576,14,7,8,-1,0.008536902848498456,3253,0.9168982942087776
MagpieData mean NdValence,0.004773858456555792,0.012240043750237274,0.006199754361327659,0.0005353140446505724,22,13,9,4,0.006040289388909615,363,0.876591095949421
MagpieData mode MeltingT,0.0,0.054597955902523504,0.0060960365553560545,0.0013672603751299678,96,4,10,-6,0.04850191934716745,51,0.8316042546172542
packing fraction,0.003039777612347894,0.0113984508443142,0.005886960279500797,0.0020018813038992305,28,16,11,5,0.005511490564813403,4764,0.8030282939487864
MagpieData range Electronegativity,0.015051726935021503,0.012944937415507009,0.0058472365192286605,0.0008923166313872049,8,11,12,-1,0.007097700896278349,369,0.9168982942087776
MagpieData mean Row,1.4314809379185997e-05,0.012163713279444882,0.005432343792328853,0.0009521823411187963,56,14,13,1,0.006731369487116029,401,0.961694934341918
MagpieData mean SpaceGroupNumber,0.0027461100115082544,0.010796203654351138,0.005353734590024828,0.0005978722254254685,31,18,14,4,0.00544246906432631,1683,0.8253277017929073
MagpieData mean Electronegativity,0.0017131732759351993,0.011240628890445014,0.00507127802134485,0.0008263610364488247,34,17,15,2,0.006169350869100164,2784,0.812386801109578
MagpieData minimum CovalentRadius,0.01754248215053014,0.03146722459436596,0.004869407090261024,0.0011934446532782866,7,5,16,-11,0.026597817504104938,26,0.9228977370905512
MagpieData range AtomicWeight,0.006468694777112043,0.0046414543561091115,0.0035590246724834353,0.0008731287210674182,16,50,17,33,0.0010824296836256762,991,0.9970902517457063
MagpieData minimum GSvolume_pa,0.005313546519215084,0.011678417671124697,0.00340490218863021,0.001125829698263773,20,15,18,-3,0.008273515482494487,58,0.7594015775933497
MagpieData range MeltingT,0.0005706561970952313,0.0053637722664717615,0.0033669767446228406,0.0010173860827748969,45,42,19,23,0.001996795521848921,871,0.9644186241649353
MagpieData avg_dev MeltingT,0.0006588253642100642,0.006592464600786154,0.0033059175229854577,0.0007044677681861076,44,35,20,15,0.003286547077800696,4020,0.8635029045294111
MagpieData maximum AtomicWeight,0.0003177915225955466,0.003088680210858004,0.002659717178722665,0.0006624937541310292,52,66,21,45,0.0004289630321353392,79,0.9992423199490987
MagpieData range Number,0.0006891275086435321,0.004104112930003588,0.002573870651052257,0.0008129548887485179,43,57,22,35,0.001530242278951331,86,0.9970902517457063
MagpieData minimum SpaceGroupNumber,0.0029146714505644427,0.0021730407350972762,0.0025450494623979305,0.00037539732149242846,30,76,23,53,-0.0003720087273006542,13,0.8916905353988065
MagpieData avg_dev NdValence,0.0013653032547997028,0.006612108658113203,0.0025154413803973987,0.0006875672648953238,36,34,24,10,0.004096667277715804,554,0.8906217861433136
MagpieData maximum Number,0.005314349054997016,0.003874977950655675,0.0024982919262435898,0.0008302841563744639,19,58,25,33,0.0013766860244120854,79,0.9992423199490987
MagpieData range CovalentRadius,0.0,0.005121642226734035,0.002404090727041264,0.0005942835624583861,96,45,26,19,0.0027175514996927714,163,0.876406606002881
