feature,builtin,permutation
MagpieData maximum Electronegativity,0.15299084759611362,0.06319703211026495
density,0.13165413695606173,0.15358517230735153
MagpieData minimum MeltingT,0.12070140848575182,0.039051507221104065
MagpieData mode MeltingT,0.06109803963372351,0.003836388736583518
MagpieData minimum CovalentRadius,0.029770999049123253,0.0020596198495094085
MagpieData mean MeltingT,0.02602911374967336,0.01517507059042229
MagpieData maximum MendeleevNumber,0.013940842590338946,0.006027257193506408
MagpieData mean NdValence,0.013872012153990927,0.006131333181712095
vpa,0.013871188254499378,0.012481206954853863
MagpieData avg_dev Electronegativity,0.013774295801371749,0.00804351024008344
MagpieData mean NpValence,0.013683649656313822,0.005827565062398088
MagpieData minimum GSvolume_pa,0.013439191132848081,0.0018381728438569111
MagpieData range Electronegativity,0.012929706811647379,0.003982951074604046
MagpieData avg_dev NpValence,0.01237333278370809,0.00010663139671692745
MagpieData mean Row,0.012155837761145018,0.004659680442611247
packing fraction,0.01097053760990304,0.005758489420805257
MagpieData mean Electronegativity,0.010761735857122803,0.003853051154034981
MagpieData maximum GSbandgap,0.01004050523015903,-0.0008093546792212969
MagpieData mean GSbandgap,0.009907468348379276,0.0012163557530267654
MagpieData mode Electronegativity,0.009357267661514661,-0.0025094484687874117
MagpieData mode CovalentRadius,0.009344755800719386,0.00071438227872056
MagpieData mean CovalentRadius,0.009225798062358924,0.0029197866756623947
MagpieData mean SpaceGroupNumber,0.008644801675136139,0.0025238769051178058
MagpieData avg_dev Column,0.008070160998817357,0.001575896500802232
MagpieData avg_dev NUnfilled,0.007519887509711513,0.00256099556687901
MagpieData mean GSmagmom,0.007442146476153972,-0.0005165912223593194
MagpieData mean NUnfilled,0.006803919225453605,0.0011927878707425842
MagpieData avg_dev GSvolume_pa,0.0065277824950729195,0.0017793562361250737
MagpieData mean GSvolume_pa,0.006446583339883955,0.0011176419845608464
MagpieData avg_dev NpUnfilled,0.006442798786715485,-9.770386913954265e-05
MagpieData maximum Column,0.006113745203728503,0.004263325316380939
MagpieData avg_dev GSbandgap,0.005949716255523091,0.0015946385317096468
MagpieData avg_dev MeltingT,0.005912740585746999,0.0025313357690646466
MagpieData range CovalentRadius,0.0058976022935573495,0.0012145552331621068
MagpieData avg_dev GSmagmom,0.005863045279867996,9.506538641813611e-05
MagpieData range Column,0.005584924079798063,0.00016079281233541965
MagpieData avg_dev SpaceGroupNumber,0.005518958509919744,0.0009187089066969966
